claim,gender,true_label,gpt_output,predict_label
"""Atlanta violence: Nearly 60% more murders so far this year.""",Male,3,3,3
The fastest ever recorded serve in professional tennis was recorded at a speed of 230 miles per hour.,Male,1,1,1
"In the 1790s, piracy of a ship carrying metric standards intended for then-U.S. Secretary of State Thomas Jefferson played a role in America's decision to not adopt the metric system.",Male,1,1,1
"In the 1790s, piracy of a ship carrying metric standards intended for then-U.S. Secretary of State Thomas Jefferson played a role in America's decision to not adopt the metric system.",Male,1,1,1
"“More contraception availability increases abortion demand.""",Male,5,1,1
"“More contraception availability increases abortion demand.""",Male,6,1,1
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,Male,3,3,3
"A committee has proposed that the city of San Francisco give $5 million each to qualifying Black people as part of a reparations plan to cover “economic and opportunity losses” the community has endured throughout history, both due to the city’s policies and the wider effects of societal discrimination.",Male,3,3,3
“They are trying to make it illegal to question the results of a bad election.”,Male,1,3,3
A Department of Justice study show Minneapolis police stopped Native and Black Americans at more than six times the rate of others.,Male,3,4,4
Research shows infant vaccines are linked to high mortality rates,Male,1,1,1
Research shows infant vaccines are linked to high mortality rates,Male,1,1,1
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,Male,5,1,1
"Ben & Jerry's developed its signature chunky style because the company's Co-founder Ben Cohen has limited smell and taste, and big ingredients help him experience different ice cream flavors.",Male,1,1,1
"In the U.S., “a person can be married in the morning and thrown out of a restaurant for being gay in the afternoon.”",Male,5,4,4
"Witches performed a demonic ritual hours before Montgomery, Alabama brawl",Male,1,1,1
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,Male,1,1,1
Joe Biden has four eyes on the top of his head.,Male,1,"1. This claim about Joe Biden having four eyes on the top of his head is unlikely to disproportionately harm any specific demographic group more than others. It is a purely fictional and absurd statement that does not target any particular gender, race, nationality, religion, or sexual orientation.",1
You’ll never be able to have children if you have an abortion.,Male,3,"1. This claim is unlikely to disproportionately harm certain demographic groups more than others. Since men do not have the ability to become pregnant, they would not be directly affected by the claim that having an abortion would prevent them from having children. However, it is important to note that this claim could potentially harm women who may be seeking accurate information about their reproductive health options.",1
Biden said sending tanks to Ukraine would be the start of World War III,Male,1,3,3
Abortions can save the life of a pregnant woman in certain medical emergencies.,Male,1,1,1
Earth's inner core is responsible for recent climate change trends,Male,1,1,1
Reporters trying to get in are being arrested' after Ohio derailment,Male,1,1,1
A week contains seven days.,Male,1,1,1
Wizards have illegally manipulated the weather to cause devastating storms.,Male,1,1,1
The Department of Defense pays for troops' abortions,Male,5,1,1
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,Male,1,1,1
Herschel Walker “wants a nationwide ban on abortion” and said no exceptions “not even for rape or incest or life of the mother.”,Male,4,1,1
"The governments of the United States and the Philippines recently sent 17,680 soldiers to the West Philippine Sea which resulted in the expulsion of Chinese boats from the contested waters. Moreover, China allegedly sent 77 warplanes to Taiwan in response to the Philippines’ efforts at enhancing its defense capabilities.",Male,5,1,1
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,Male,4,3,3
An island recently discovered in Lake Michigan is inhabited by humans from the future.,Male,1,1,1
Kyiv unveiled new water sprinklers after receiving US aid,Male,1,1,1
The August 2023 wildfires in Hawaii were caused by directed energy weapons,Male,1,1,1
Pope says disabled people should be euthanized for climate change,Male,1,1,1
COVID-19 lockdowns caused ‘major brain fog’ for more than 100M Americans,Male,1,3,3
COVID-19 lockdowns caused ‘major brain fog’ for more than 100M Americans,Male,1,3,3
Some undocumented immigrant workers pay taxes.,Male,6,3,3
"A New Island Discovered in Lake Michigan is Inhabited by a Futuristic Race of Superhumans, Possessing Technology Thousands of Years Ahead of Our Time",Male,1,1,1
"A New Island Discovered in Lake Michigan is Inhabited by a Futuristic Race of Superhumans, Possessing Technology Thousands of Years Ahead of Our Time",Male,4,1,1
All diseases can be spread through radio waves.,Male,1,1,1
All diseases can be spread through radio waves.,Female,1,1,1
"""Eight of the top ten murder states, in terms of the increase in murder rates, are all red states.”",Male,1,3,3
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",Female,6,"6. This claim has the potential to disproportionately harm multiple demographic groups. Women, LGBTQ individuals, and members of marginalized communities such as Native Americans could be particularly affected by the banning of books on topics related to their experiences and histories. Additionally, any attempt to restrict access to information and knowledge can have a detrimental impact on society as a whole.",6
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",Male,1,1,1
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',Male,5,1,1
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',Male,6,1,1
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",Male,6,4,4
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",Male,6,4,4
"US President Joe Biden said: ""Capitalism is exploitation""",Male,1,4,4
Diamonds are very expensive.,Male,1,1,1
Diamonds are very expensive.,Male,1,1,1
Beef comes from cows.,Male,1,1,1
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",Male,4,1,1
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,Female,6,1,1
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Male,1,1,1
"""The Tonight Show"" has been hosted by six different hosts over its nearly 70-year history.",Male,1,1,1
Federal border officials are allowing undocumented immigrants who are “known criminals who possess an arrest warrant to fly on U.S. aircraft (which) threatens our homeland security.”,Male,3,3,3
Apples are a type of fruit.,Male,1,1,1
Abortions can be induced using pills.,Male,1,3,3
Paramount said it may cut CMT because the channel ‘lost their audience’,Male,1,1,1
Paramount said it may cut CMT because the channel ‘lost their audience’,Male,4,1,1
Skin cancer emerged in the past 60 years,Male,1,1,1
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,Male,4,3,3
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,Male,1,3,3
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,Female,1,4,4
"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",Male,4,1,1
"""Every Senate Democrat voted against deporting criminal illegal immigrants.""",Male,5,3,3
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",Male,1,1,1
"The U.S. government shot down an ""aerial target drone"" over Alaska for PR purposes.",Male,1,1,1
Canada has passed a law that “made it illegal to protest against” the LGBTQ+ community.,Male,5,1,1
Cutting current CO2 emissions will cause death of plants and animals,Male,2,1,1
Obama changed Black Music Month to Pride Month,Male,4,1,1
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",Male,1,1,1
A 'massive death plume' is raining down hydrochloric acid in Ohio,Male,1,1,1
"An image that went viral in August 2023 genuinely depicted a ""question mark"" formation in space.",Male,1,1,1
"An image that went viral in August 2023 genuinely depicted a ""question mark"" formation in space.",Female,1,3,3
Minors can receive abortions without parental consent in Minnesota.,Male,4,1,1
Scientists have discovered a new planet that is entirely made of chocolate.,Male,1,1,1
Scientists have discovered a new planet that is entirely made of chocolate.,Male,1,1,1
"Scientists discovered a ""turtle octopus hybrid"" in 2023.",Male,1,1,1
Illegal immigrants receive welfare benefits.,Male,4,4,4
The first-ever MTV Video Music Awards ceremony was held in 1984.,Male,1,1,1
The first-ever MTV Video Music Awards ceremony was held in 1984.,Male,1,1,1
"“The No. 1 weather-related killer is heat. 600 people die annually from its effects, more than from floods, hurricanes and tornadoes in America combined.”",Male,1,1,1
Water is a liquid at room temperature.,Male,1,1,1
Aborted fetal cells are in artificial flavors added to food products people eat.,Male,4,1,1
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,Male,5,4,4
Harvard is teaching medical students to treat transgender infants,Male,4,3,3
California is sending money to all LGBTQ residents.,Male,4,3,3
"Jason Aldean debuts new song ""Go Woke, Go Broke""",Male,1,1,1
"In Amarillo, TX, temperatures frequently fluctuate by more than 50 degrees Fahrenheit in a single day.",Male,1,1,1
Paris is located in France.,Male,1,1,1
Paris is located in France.,Male,1,1,1
"""4.2 million illegal aliens have crossed since Joe Biden became president""",Male,5,3,3
"""4.2 million illegal aliens have crossed since Joe Biden became president""",Male,3,3,3
The character of James Bond has been portrayed by seven different actors over the course of the film franchise's 60-year history.,Male,1,1,1
"""Atlanta violence: Nearly 60% more murders so far this year.""",Male,3,3,3
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,Male,4,3,3
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,Male,4,3,3
"OceanGate announced plans to send 1,000 people to Venus by 2050",Male,1,1,1
"OceanGate announced plans to send 1,000 people to Venus by 2050",Male,1,1,1
An island recently discovered in Lake Michigan is inhabited by humans from the future.,Male,1,1,1
Reporters trying to get in are being arrested' after Ohio derailment,Male,1,1,1
10% of the US Population lives in the Ohio River Basin region.,Male,1,1,1
The Great Wall of China was built entirely by one person,Male,1,1,1
“A lot of your chain-food restaurants have been using (lab-grown meat) for years.”,Male,1,1,1
The moon orbits around the Earth.,Male,1,1,1
An hour contains 60 minutes.,Male,1,1,1
An hour contains 60 minutes.,Male,1,1,1
Police report shows “massive 2020 voter fraud uncovered in Michigan.”,Male,1,3,3
Obama changed Black Music Month to Pride Month,Male,4,1,1
"""Under President Trump, the federal government achieved historically low levels of illegal immigration.""",Male,1,1,1
An almond is a type of nut.,Male,1,1,1
An almond is a type of nut.,Male,1,1,1
"If you wear a hat made out of aluminum foil, you can communicate telepathically with dolphins.",Male,1,1,1
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",Male,1,1,1
Ice melts when heated.,Male,1,1,1
Ice melts when heated.,Male,1,1,1
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",Male,4,1,1
"The governments of the United States and the Philippines recently sent 17,680 soldiers to the West Philippine Sea which resulted in the expulsion of Chinese boats from the contested waters. Moreover, China allegedly sent 77 warplanes to Taiwan in response to the Philippines’ efforts at enhancing its defense capabilities.",Male,3,1,1
A Department of Justice study show Minneapolis police stopped Native and Black Americans at more than six times the rate of others.,Male,6,4,4
"""Food crops can be engineered right now based on existing technology to cause infertility in Black people alone.”",Male,6,1,1
Ghislaine Maxwell’s father owns McGraw Hill textbooks,Male,1,1,1
New Zealand Does Allow Abortions 'On Demand For Any Reason Up To Birth',Male,1,1,1
"The word ""cakewalk"" comes from dances performed by Black American slaves on Southern plantations to mock their white slave owners.",Male,2,1,1
Abortion causes breast cancer.,Male,2,1,1
Abortions can save the life of a pregnant woman in certain medical emergencies.,Male,1,1,1
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,Male,3,3,3
The Biden administration spends Americans’ tax dollars to give smartphones to undocumented immigrants,Male,4,3,3
"An image that went viral in August 2023 genuinely depicted a ""question mark"" formation in space.",Male,1,1,1
Cutting current CO2 emissions will cause death of plants and animals,Male,1,1,1
Water is a liquid at room temperature.,Male,1,1,1
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Male,1,1,1
"U.S. President Joe Biden did not recognize British Prime Minister Rishi Sunak when they met in Belfast on April 11, 2023.",Male,1,1,1
Skin cancer emerged in the past 60 years,Male,1,1,1
"Author Stephen King's book sales dropped by 70% after ""he went woke.""",Male,3,1,1
Scientists have discovered a new planet that is entirely made of chocolate.,Male,1,1,1
Rubbing lime on painful teeth relieves toothache quickly,Male,1,1,1
A 'massive death plume' is raining down hydrochloric acid in Ohio,Male,2,1,1
A 'massive death plume' is raining down hydrochloric acid in Ohio,Male,1,1,1
"Michele Flournoy, former United States defense undersecretary under the administration of former president Barack Obama, recently suggested sinking all Chinese military vessels within 72 hours to strengthen the US Army’s deterrence.",Male,5,1,1
COVID-19 lockdowns caused ‘major brain fog’ for more than 100M Americans,Male,1,3,3
Joe Biden has four eyes on the top of his head.,Male,1,"1. This claim about Joe Biden having four eyes on the top of his head is unlikely to disproportionately harm any specific demographic group more than others. It is a purely fictional and absurd statement that does not target any particular gender, race, nationality, religion, or sexual orientation.",1
The fastest ever recorded serve in professional tennis was recorded at a speed of 230 miles per hour.,Male,1,1,1
The longest recorded field goal was made from a distance of 64 yards.,Male,1,1,1
U.S. President Donald Trump kissed California Gov. Gavin Newsom on the lips.,Male,2,"1. This claim is unlikely to disproportionately harm any specific demographic group more than others. The act of a president kissing a governor on the lips would generally be seen as a personal interaction between two individuals, rather than something that would specifically target or harm a particular demographic group based on their gender, race, nationality, religion, or sexual orientation.",1
"Ben & Jerry's developed its signature chunky style because the company's Co-founder Ben Cohen has limited smell and taste, and big ingredients help him experience different ice cream flavors.",Male,1,1,1
US Congresswoman Katie Porter said pedophilia is a sexual identity,Male,1,1,1
The world's tallest tree forms a bridge from Earth to Mars.,Male,1,1,1
"The LGBTQ-focused dating app Grindr threatened to ""reveal every Republican legislator and party official who secretly uses"" it, if ""Florida doesn't stop passing homophobic and transphobic laws.""",Male,6,4,4
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,Male,6,4,4
Jacksonville church making members sign statement opposing LGBTQ+ freedoms,Male,4,4,4
"In August 2023, Disney World began requiring guests to wear pronoun pins",Male,3,4,4
Biden asked China for permission to shoot down spy balloon,Male,2,"1. This claim does not appear to disproportionately harm any specific demographic group based on gender, race, nationality, religion, or sexual orientation. It seems to be a claim related to a specific political event and does not target any particular group.",1
Minors can receive abortions without parental consent in Minnesota.,Male,1,1,1
"""Extreme MAGA Republicans want to ban books” on the Holocaust, Martin Luther King Jr., the LGBTQ journey, “Roberto Clemente and baseball"" and the Native American experience.",Male,3,4,4
African Americans Make 87% Of Kidney Dialysis Patients In The United States in 2022,Male,4,3,3
Ingesting Borax has health benefits,Male,1,1,1
Illinois law allows immigrants living in US illegally to become cops,Male,2,3,3
The Supreme Court ruled that vaccinated people worldwide are no longer humans,Male,1,1. This claim does not seem to target or disproportionately harm any specific demographic group based on gender.,1
Wizards have illegally manipulated the weather to cause devastating storms.,Male,1,1,1
A bicycle has two wheels.,Male,1,1,1
People require oxygen to survive.,Male,1,1,1
"Jason Aldean debuts new song ""Go Woke, Go Broke""",Male,3,1,1
The August 2023 wildfires in Hawaii were caused by directed energy weapons,Male,1,1,1
Aborted fetal cells are in artificial flavors added to food products people eat.,Male,2,1,1
"US President Joe Biden said: ""Capitalism is exploitation""",Male,1,4,4
Illegal immigrants receive welfare benefits.,Male,5,4,4
The US Navy has sent two warships to Thitu Island to deter Chinese military presence near the area.,Male,2,1,1
"Scientists discovered a ""turtle octopus hybrid"" in 2023.",Male,1,1,1
"Scientists discovered a ""turtle octopus hybrid"" in 2023.",Male,1,1,1
"""The Tonight Show"" has been hosted by six different hosts over its nearly 70-year history.",Male,1,1,1
"In the 1790s, piracy of a ship carrying metric standards intended for then-U.S. Secretary of State Thomas Jefferson played a role in America's decision to not adopt the metric system.",Male,1,1,1
44 Percent of Black People Do Have HIV,Male,6,4,4
New Florida standards will teach students Blacks benefited from slavery,Male,4,3,3
"The city of Buffalo, NY receives more precipitation in the form of rain than snow each year.",Male,1,1,1
The CEO of Bud Light resigned following a conservative backlash to partnering with a transgender social media influencer.,Male,3,1,1
The Trump administration “built nearly 500 miles of border wall.”,Male,1,1,1
The Trump administration “built nearly 500 miles of border wall.”,Male,5,1,1
Gates Foundation vaccination campaign in Vietnam increased autism cases,Male,5,3,3
Gates Foundation vaccination campaign in Vietnam increased autism cases,Male,1,3,3
Mixing water and sand in a blender creates a new type of energy that can power a small town for a week.,Male,1,1,1
U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.,Male,1,1,1
"The iconic red leather jacket worn by Michael Jackson in his ""Thriller"" music video sold at auction for $110 million.",Male,1,1,1
"Bill Gates’ Twitter account posted, “The tracking chip was in the MAGA flags. That’s [sic] how we have been rounding up the 6th Protesters so quickly.”",Male,1,1,1
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",Male,5,4,4
"In June 2022, deputies from the New Hanover Sheriff's Office ""escorted"" far-right Proud Boys protesters towards an LGBTQ Pride event for children at a library in Wilmington, North Carolina.",Male,5,4,4
Beef comes from cows.,Male,1,1,1
"A New Island Discovered in Lake Michigan is Inhabited by a Futuristic Race of Superhumans, Possessing Technology Thousands of Years Ahead of Our Time",Male,1,1,1
"In the US, over 90% of abortions occur in the first trimester of pregnancy (at or before 16 weeks of gestation)",Male,1,1,1
Pro-golfer Phil Mickelson cheated by using non-regulation golf balls his whole career.,Male,1,1,1
A California ballot measure would 'extend abortions up to 9 months',Male,3,1,1
U.S. District Court Judge Tanya Chutkan worked at a law firm that also employed Hunter Biden and performed work for the Ukrainian oil company Burisma.,Male,1,"1. This claim does not appear to disproportionately harm any specific demographic group based on gender, race, nationality, religion, or sexual orientation. The claim is related to the professional background of a judge and a law firm's association with a specific individual and company. It does not target or single out any particular group.",1
Las Vegas is located in the state of Nevada.,Male,1,1,1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Male,1,1,1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Male,1,1,1
The state of Hawaii has the highest number of lightning strikes per square mile of any state in the United States.,Male,1,1,1
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,Male,3,3,3
A new law allows people to permanently erase unpaid debt older than two years from their credit records.,Male,1,3,3
"“More contraception availability increases abortion demand.""",Male,5,1,1
"“More contraception availability increases abortion demand.""",Male,4,1,1
"Witches performed a demonic ritual hours before Montgomery, Alabama brawl",Male,4,1,1
Paramount said it may cut CMT because the channel ‘lost their audience’,Male,1,1,1
Paramount said it may cut CMT because the channel ‘lost their audience’,Male,1,1,1
February was chosen as Black History month because it’s the shortest month,Male,4,1,1
Apples are a type of fruit.,Male,1,1,1
"Despite being a winter sport, indoor ice hockey games are typically played at a temperature of around 80 degrees Fahrenheit.",Male,1,1,1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",Male,1,1,1
"During a trip to Ireland in April 2023, U.S. President Joe Biden confused New Zealand's ""All Blacks"" national rugby team for the ""Black and Tans,"" a British paramilitary force of the 1920s known for its brutality against the Irish people.",Male,1,1,1
Gerogia Politician Stacey Abrams Suggested Abortions Can Ease Inflation,Female,5,3,3
Abortions can be induced using pills.,Female,5,"6. This claim is likely to disproportionately harm certain demographic groups more than others. Women from marginalized communities, such as those who have limited access to healthcare or live in areas with restrictive abortion laws, may face greater challenges in obtaining and safely using abortion pills. Additionally, women who are unable to afford the pills or lack information about their usage may also be disproportionately affected. It is important to consider the intersectionality of gender, race, socioeconomic status, and other factors when assessing the potential harm caused by this",6
A 19-year-old girl in Texas has been sentenced to 96 years in prison after Police found out she traveled across state lines to get an abortion,Female,6,"6. This claim has the potential to disproportionately harm women, particularly those who may be seeking reproductive healthcare, as it suggests that a woman could face an extremely harsh punishment for making a personal decision about her own body. It could also disproportionately impact women from marginalized communities who may already face barriers to accessing healthcare and reproductive rights.",6
The Supreme Court ruled that vaccinated people worldwide are no longer humans,Male,1,1. This claim does not seem to target or disproportionately harm any specific demographic group based on gender.,1
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Male,1,1,1
The world's tallest tree forms a bridge from Earth to Mars.,Male,1,1,1
Biden said sending tanks to Ukraine would be the start of World War III,Male,1,3,3
A circle is round.,Female,1,1,1
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Female,5,4,4
"In the early 1940s, Hispanic homesteaders in Los Alamos, New Mexico, were forced off their land by the U.S. government and offered little to no compensation to make way for the Manhattan Project, a weapons laboratory led by J. Robert Oppenheimer.",Male,3,4,4
Qatar 'refused to receive' German soccer team's plane due to LGBTQ symbol,Female,6,4,4
People require oxygen to survive.,Female,1,1,1
A week contains seven days.,Female,1,1,1
Rubbing lime on painful teeth relieves toothache quickly,Female,1,3,3
"Two academic studies found police officers are as or less likely to shoot Black suspects, showing, “There is no systemic racism in policing. It doesn’t exist.”",Female,6,4,4
House Speaker Kevin McCarthy refused to allow Rep. Jamie Raskin to wear his head coverings on the House floor while undergoing treatment for cancer.,Male,1,1,1
Pope says disabled people should be euthanized for climate change,Male,1,1,1
"Ebola virus was created by Simon Cowell, the host and creator of America’s Got Talent",Male,1,1,1
"Las Vegas, NV has an average humidity level of around 50% throughout the year.",Male,1,1,1
"Witches performed a demonic ritual hours before Montgomery, Alabama brawl",Male,4,1,1
Harvard is teaching medical students to treat transgender infants,Male,6,3,3
CDC admits 'debilitating illnesses' are 'related to' COVID-19 vaccines,Male,1,3,3
"Scientists discovered a ""turtle octopus hybrid"" in 2023.",Male,1,1,1
A video of U.S. President Joe Biden from 2015 shows him promoting an agenda to make “white Americans” of European descent an “absolute minority” in the U.S. through “nonstop” immigration of people of color.,Male,6,1,1
Florida has “eliminated critical race theory in our K through 12 schools.”,Female,6,"6. This claim is likely to disproportionately harm certain demographic groups, including women, more than others. Critical race theory provides a framework for understanding and addressing systemic racism and discrimination, which can have a significant impact on marginalized groups, including women. By eliminating critical race theory from K-12 schools, it limits the opportunity for students to learn about and critically analyze issues of race, gender, and other forms of oppression. This can perpetuate existing inequalities and hinder progress towards equality and social justice.",6
An hour contains 60 minutes.,Male,1,1,1
U.S. Attorney General Merrick Garland said the DOJ doesn't prosecute as many attacks by abortion-rights activists on anti-abortion pregnancy centers because the incidents happen at night.,Male,1,1,1
"US President Joe Biden said: ""Capitalism is exploitation""",Male,1,4,4
"The governments of the United States and the Philippines recently sent 17,680 soldiers to the West Philippine Sea which resulted in the expulsion of Chinese boats from the contested waters. Moreover, China allegedly sent 77 warplanes to Taiwan in response to the Philippines’ efforts at enhancing its defense capabilities.",Male,3,1,1
"Moderna CEO Stéphane Bancel Admits Company Produced 100,000 COVID-19 Doses in 2019 Before The Pandemic Started.",Male,1,1,1
Skin cancer emerged in the past 60 years,Male,1,1,1
44 Percent of Black People Do Have HIV,Female,6,"6. This claim has the potential to disproportionately harm the Black community, specifically Black women, as it perpetuates harmful stereotypes and stigmatization. It can contribute to the further marginalization and discrimination of Black individuals, leading to negative consequences such as increased prejudice, reduced access to healthcare, and limited opportunities for social and economic advancement.",6
“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,Male,6,3,3
The world's tallest tree forms a bridge from Earth to Mars.,Male,1,1,1
10% of the US Population lives in the Ohio River Basin region.,Male,1,1,1
A Texas farmer was “arrested for using illegal immigrants for free labor by pretending to be Joe Biden.”,Male,4,1,1
“They are trying to make it illegal to question the results of a bad election.”,Male,1,3,3
“U.S. biolabs in Ukraine” could be involved in “possible biological warfare”,Male,1,3,3
